sa-hash,a-hash,artist,song,count
d3a0710cb4c1af7e8157d95ae2064745c29432a7721f6c67c53a858085ff1275,301b4b62c4bc808edc50bc3029e23af8f637f10c5b674e61b4b46238ae4f2d80,"Pappas Eget Band",Flygbiljett,14
eb8985b04c1b92d826b8d68f643e8c6fcdc34c3dad9f09553d12d4200f63413a,bfd358aafea558264be9dd0fbf511408ae3cc1e5d0a2d8f54deb7c139ec6d19b,Laleh,"Live tomorrow",25
d9ac405fbf9fb3e2bd6574688de63f0a94ec263af28daa073d81cb8e7aaef244,199e3918a2a0cdc793232299a9e8ed81d7918381fcf0bf4e89e06faf0a45766f,Madonna,"American pie",32
0fc3ebac5c643508d56f2c29d077b2e5e90d42e33d46de15f21db792836db0f7,53682acb659d1e8d5efbb93f053624aa753bc240c4111280a1f652ac4bb5c7a8,"Elvis Presley","Return to sender",12
637a90d19a3d1bdd15a02bc60c522cf5753cd674fe2f69919f4e0c389d0cdfec,314e01efb4097e2743c31c79436098c04c93475f4aa6b1f3a4bd035d55914071,"Lisa Nilsson","Himlen runt hörnet (2003 remix)",27
b3b12b98ddee13b522a6ea44c078406792afc75f060e693b0a7b2b236f682ba2,9ab5e1a4856824841eb86f649be100ce6854b9066abcdbe2374639afab063295,"Peter Lemarc","Ett av dom sätt",13
01a6eaa4c0bbd08306ae80d37c5bd701d7a7334a5d86d0e7539e3521cc352460,199e3918a2a0cdc793232299a9e8ed81d7918381fcf0bf4e89e06faf0a45766f,Madonna,"Material girl",21
f346005d1481989850110d9cb1811689e51646a874f08b5abccfcbda07818334,95ad6897abd4e239fc114727421e1acb3883ea4fb343cbce2694e37b1b8ec9d4,"Roxy Music","More than this",16
f12a41847140de802c13ede09b558caaef5a60cd5c33c6e7a9069a22bca9bf56,12422a1a8f7146674ce31fe336199bf3d558ff66b0bb017a24fd17bfd60c29fa,"Michael Bublé & Bryan Adams","After all",34
a70ad40186dc495af505bfc0d0b449a1d3cc156565780d043c9562aba62553c0,daff55f9e72a9451cda79e27f6b1e611981c5827ed3b6072cf0af22d68cd851e,"Sheryl Crow","All I wanna do",20
efe5883809be8adc23b0f279b6264f6fb57a037d2fc4541a2bae1e42859986e3,bf4c3e67ba50719ee1a18192b3f0448fefc4500573fe9f37bf551a8f9a52369b,"Tom Jones & Nina Persson","Burning down the house",23
ac1f2469f25ca5fb7bc6a46c4179b9927a44524c03f82d57e4fd14ed67483956,88be101d0a94f7004735a6260f1760abbb8be6e02652f55861e47ae8a3926218,"Edwin Starr",War,17
3573bc242feb47db59b293dde9ffe324e8901beb11dd6cb9c0076685857019b9,cc13866244f540707744e4625bb90991841f2325188ac6765477e116194cba19,"Lionel Richie & Shania Twain","Endless Love",2
