sa-hash,a-hash,artist,song,count
6eab87be769cf67f4036e0a44cd16f8f0b358b26b86f1ee5da3325863d89a35b,5c5aefb473745c2799a579b8a0790024732eba6be6451d0722434b817773b96b,"Norlie & Kkv","Tröjan du hatar",153
f6f7bfdacd8651ee1132e99b4c0e4fb019846f728883619939699331a1dc34e5,c677fedcf21cc19bd83d8521c07bdd0b8dade7c5b4f971cf93f02d5826eb9f12,"Maroon 5","One more night",121
576a40b538925589ea96689a8e33aa00f663e5ce5e94af9e6ad0216723d9cd2d,f563b55006e14db7369b0b9554f92cc5fb90c5a1fcb9235e9f61ac566caa46bf,Stiltskin,Inside,9
e3355ea11d9668475357388aa4ed94bb24c8f0d4ca50d5a4d2704c02254d21cb,b8b1fc4ca79f07d98f5ef453a2b7120f94e5d7eef2913a104082462976a7a735,Kesha,"Die young",108
cf85d634b7f68425d18230427cb57427ab460e34d5859ce5b75c0564ef56e333,73f4d6b573b7a3bceab1b430a211f8f74fa6c59dd064b855cf0e2a319ce77e0e,"Michael Monroe","Ballad of the Lower East Side",106
1d4d9f81ee76ff15b62d0b1dd35f9f97ade914448f669fe64ffe0f7bed677280,d5c87d8c840e85f22ae305092550b3942415b55dac5c0868dabf8ee00950def7,"Craig David","Hot stuff",7
67b93df6ba977ed687ec371df9747ec6d66aa4bc1426e2d950a85995b7dab6b1,4585ea506832b0291286c6a9bea1c5a33f6a822ad340db2427ed8c92d41df218,"Chris Cornell","You know my name",43
a459be611c21a9288379b875ab5971a199469c4f725fbf8f9216a9b24290b181,03fc6cca1d9943dc8890139c04fd842a5dbd957c6a149d9171d01dfed2ef794a,Takida,"Curly Sue",57
f3d5971b5118151a0be9384369c949a8faa87888724926879254d9b7fd977734,2d9d26942845e4455418a677765a083f0d986894a59a3f669f06a9ef1a93d5e6,Volbeat,Fallen,69
e694dfcf45204637608440250ce257d9591c0537f3d9ec65bd511b89e3fcef8b,141186c3874849cdb265d712dbb82bc7e5195ec36f9bfe626ab82e19bef858f1,"30 Seconds To Mars & Kanye West",Hurricane,35
e9dad4309fa35546f9274c551f092f499b613cd6e5d81edba9a5890051901947,2df44bef2f85de6eea2687503f80edb554aac1a9e44110c9873b093173dc5411,"Linnea Henriksson","Lyckligare nu",135
0d646a79420534d96cb7400395992f4bc05489535e436e7448580f2c2d16e9d8,72fd36c27d97213499fcfede9eee540bd5c882ff4f027ba554174c99a168d6bf,"Eagle-eye Cherry","Save tonight",9
5983566dbce3f9a5d1422ff2e17cd104d63028354fa05b82a6ea326df279efad,d307c4de3440725bb9837734245896a5b4366ebb80016dbb173be4c8da06daf2,"Margaret Berger","I Feed You My Love",58
833941f4c395b26e0ae19909bbd959bb0c0909fac4cfa6b79251947073e26c47,58efb1faec0db07ba15f21568b852ea59b3fc07eb4d8e255e26fdcf5d9c2487d,"Sturm Und Drang","Molly the murderer",73
40de751f78306f69cea8447cd907a2793402d25b4eb4b360c38b4a802e23fe67,9884bd307e961d090c7973b011ddde681ff9dd32725fc8b20e54b6e479ba10b9,Vink,"B and B",21
63f53d54189cdb4a2ca8c20e3a4743a41c6217519c39ac802a0b2303b04f2417,1e4fa14df4ab23f1bf75f2167d2150640f642817796c7bab2f38c0a139b0e800,"Black Eyed Peas","Boom boom pow",31
aa94a605ce320fdf71f8ff51c3a25a6a9e2c52e8c9e4dff9d1877579dc8bb8b5,ca8d93b8fe2e974d583dab5b48fc5c980d4e0c2d1beb05241d72988cd695c447,"Lotta Sandholm","Start again",16
5a38ac71c5d2460330d6be7b8627c5c0ad550f33de6b6a56c75bf9940c1ab765,5fa6e8508fb9cfd5814f1401500fe736d05a94351ebc50fa0b2572cb4a04d9f2,Muse,"Follow me",107
a0ba7929b708f2d4dd40a718c5f5c76e4ece47d2b927ceef92ccd997ab84c120,6fc083b6741d35738e5a1d9487e214fbbc605e8935a1643e323457909c58644e,Mika,"Relax (Take it easy).",74
7df358a654e08ea31ffe1b94857f54d340528ec4578d6580205cee926240b027,ab8f4670ec1b69179514b299f21cdcb626339aaefd1a083792f9a41b86ea0cd2,"Aloe Blacc","I need a dollar",99
8353d290db6b04414a973c83673f734b246b38c211862a0767cc3ff97c06db88,3f8a54e93d1275fcda896f9bcf01559f36f80b6ad6792dde17ebd2d8ec8ed09a,"Kylie Minogue","Red blooded woman",4
5120923df516f38048ed5bd5a1e577af301408a8104da92d4da13935cafe3ddb,68779b6c114acdc80b6cd3a5f636f3292495413ac984eb14c2256c57bbf1e961,"Billy Talent","Fallen leaves",69
3925eac3ba812ebb38c66370b43de358de32d28c14a7d1c13259ffd6d42ca85d,cb8aa94b7a75e1057705b65d4f38125c56110781ef75601f130047deba0c1de1,"Lorentz & M. Sakarias",Mayhem,108
a96f496b517932f2d1f48cb97ba5bbd5e6efcdd6c0e6aefaf20b530aa93f3977,22dc7f1355c33a777cd7d5ac4391af5292d44bc97f6a83d553820eec682dc1e6,"Avenged Sevenfold",Nightmare,84
128c48542d8f4a97c251b916d5930b8c20615143ac9606bd42d5ec035d7e50f1,1330257c7598ba6a02518eb0220f38a900b451c42a290d176b34bffc1a4e7de1,"Jack Johnson","You and your heart",18
009f8b305af8a92e3ded44d4301d19fc84d33012e1fd1eba0a3a26984c701fca,43c4fe4974dbb867dd2bee2294ef33671144a14c6788e87ccc73a0a6339b6eb8,"Disco Ensemble","Eartha Kitt",67
